100000 100000
27875 20572 42304
69425 13024 310
83737 32755 77627
5746 93354 19209
90438 44943 3866
67071 34286 49732
65279 559 75165
69001 79959 20580
7615 35318 72218
41720 96584 86972
49476 53750 81753
60965 52714 91292
72508 58216 89893
48893 41160 39869
58073 64647 57871
77773 66376 8765
70950 16027 75618
31654 98313 87179
65588 34475 41476
35209 98143 18978
39946 56450 83657
50116 46365 57517
88457 82047 83064
17826 96459 22725
9282 21190 83577
49208 7481 46618
88655 61051 64286
49510 67416 73085
49740 59451 63872
24368 80070 370
24051 54872 56107
21977 79096 89506
82274 85822 4423
76067 3618 76478
41730 65285 91040
26772 64135 13254
235 89151 42560
75446 68160 8367
39925 4261 55557
48227 97496 29743
20928 85897 94221
63129 33642 10702
64380 91843 28920
35213 69435 72084
56037 56983 36157
63396 8918 71255
19474 8608 16533
60517 36290 98704
67745 6206 35081
44557 25362 55585
9713 99587 48217
73774 75404 54646
11052 46099 21535
40892 72729 71978
55213 87671 12079
85797 71459 11755
17326 52471 9743
51355 95178 10173
58810 32051 8240
79523 16324 18723
10763 91951 48506
54659 955 55326
18633 76111 59860
68717 34116 54571
69185 94300 56290
88167 5030 33071
21899 7672 43627
43915 73539 13201
20071 49573 97419
99811 10299 72578
32570 13488 47236
61441 50375 31080
93411 89874 58386
62670 58897 7045
94681 207 84287
20580 36322 40007
46927 76768 11130
96355 40771 61212
81451 80983 81858
48888 33652 79946
99972 76800 86983
38144 86954 57492
93310 69002 65784
80689 46065 89846
3512 78776 378
10337 77691 41564
76570 97030 93824
71857 91612 42762
67119 38232 13636
10895 46699 58516
35472 83515 50945
44034 25237 49426
57879 61061 7382
53021 83990 91915
91493 19360 82119
5557 86369 84778
40469 87676 84214
54574 64624 41029
12312 52119 32027
40784 65663 88704
62583 68966 43717
64454 4237 41186
73645 37155 6832
78370 14992 67730
13282 35350 66575
62537 49818 58974
24488 70039 79464
97297 13241 72946
83863 86776 33906
41246 71735 82304
62922 54608 65920
63 40706 31163
2390 4330 61532
90796 30744 35706
84486 98587 65198
7975 31549 94191
91610 59554 27630
93482 12702 35787
98749 41048 98258
26901 26034 64768
66952 96513 79366
74427 14109 92038
67875 73381 2047
75953 79676 86263
61601 93330 77085
88793 38097 14067
89669 13009 28496
93600 22076 99907
63843 45332 82196
5073 66017 88807
35116 88781 57596
87299 46131 20168
32590 93353 59897
86889 40663 92863
57181 53363 60545
46897 37778 22753
35965 21504 92592
79727 67540 58654
23918 78341 55896
79472 54283 29435
33519 39412 92115
35947 77678 50487
16947 62882 2534
69213 39133 70244
69844 62808 99773
18583 80202 27965
17607 81061 1225
83506 67384 45649
94024 66848 24750
19834 71752 31626
44555 27641 75122
22080 76780 87313
53811 888 42670
96086 45759 81777
19215 86011 94659
46679 19520 22522
80265 68098 72291
6706 17979 96880
9329 78332 26628
15193 35234 66434
92881 85451 36832
82281 3429 40097
41345 9515 18574
36213 3418 77423
63844 70506 90851
88085 46665 52290
50403 98258 5849
66195 15495 83950
67355 70577 7436
69616 92687 17311
91545 8684 68021
5866 13804 65626
1964 63187 90309
76763 30555 63763
12095 22896 25195
65385 98354 47039
48984 55772 1177
32799 35489 82612
15724 75754 91832
41599 23638 34699
51439 15217 77574
75707 20815 79386
4178 35175 92625
40970 58081 12523
12763 62330 9413
85848 38041 88285
75425 41642 62492
10591 6851 82762
35400 50758 94532
81439 59667 22010
95137 28741 27695
30231 6299 77796
72877 5529 85961
82508 32681 35829
64536 57252 17799
76696 27813 37831
93061 13959 7997
73200 78781 27114
98682 97267 59637
33730 96392 31975
43308 83313 59087
81959 1774 67259
23960 56005 35924
61567 21007 17133
98710 14555 58460
14474 89280 29337
58307 3554 52391
8950 10234 4816
33552 91576 44341
65727 77295 43464
63028 29696 3570
26464 52595 37451
43960 37906 51519
38998 87898 35115
88712 54369 7189
41514 4992 76101
83292 10019 98054
55426 24572 87931
73047 60287 24050
65587 43354 29106
42233 59540 53391
68677 19216 36783
931 79453 955
73038 83118 78454
18163 92054 71464
38641 7916 48622
25350 61741 34587
44197 36144 84146
59060 40794 77854
81617 25184 7795
37990 61906 82614
52994 61067 26763
88025 96576 36644
40396 7888 31238
59836 51047 95199
49742 26267 10022
8995 92531 75013
48975 65006 58944
75129 2432 56489
81827 97197 5843
54188 81371 14016
61312 96050 53103
88435 35050 75801
85282 89644 92176
61563 53837 33186
83742 25673 24740
63314 50199 41439
29942 83437 5892
39175 85375 31970
65350 49369 38440
11216 11164 32074
94820 14096 85624
93413 24192 34450
11156 96313 69630
74069 54714 5700
88642 78260 68385
70187 36565 99912
91699 39528 57583
58528 21338 64028
65757 64890 55077
67427 71009 33919
18310 78151 15062
1165 74116 18014
9795 95165 79170
83676 5165 66177
40387 20586 37868
26058 12084 91177
19713 71896 80942
95438 50974 24259
46799 49988 11588
8575 20479 96218
30126 66680 52296
6658 98700 6994
1816 53652 82125
64591 57533 84768
13118 8937 81956
48497 75239 51860
15823 24387 34784
33296 61185 8615
89649 4468 34133
29017 3671 60822
1851 47866 52445
76910 41749 49799
2005 13930 2101
45698 72984 91601
57408 80533 9810
94204 47129 36028
78648 98649 64316
62541 29916 71044
92040 36947 75195
83968 51823 21959
74542 7758 6406
65449 50336 55128
2566 41229 51952
67559 79592 6681
4112 13532 47557
77690 39490 22427
31366 73942 23315
47076 10196 59153
76762 33680 26149
55484 26858 30909
54337 45311 19643
48279 88471 8535
21435 10479 74353
34337 96005 93513
52462 56856 82648
61341 63856 49987
52592 60840 71348
86920 69493 10070
14057 89782 56002
32730 45517 70874
17558 65793 95193
80975 54272 63790
82991 7018 11407
4444 45825 18984
78547 33171 49522
59882 34672 93913
97230 34703 81397
86956 4299 97283
2517 21496 77826
42653 41599 75676
91173 32799 54771
62941 23824 40661
66943 30148 24357
